class,core_name_ru,n_ref,mean_max_tc,median_max_tc,std_max_tc,mean_topk5_tc,frac_nearest,n_nearest,mean_umap_nn_dist,umap_centroid_dist
stilbene,"стильбен (1,2-дифенилэтилен)",800,0.2748702051797126,0.2634470792365529,0.07463644550391584,0.25214922825006764,0.3744419642857143,671,0.9383293459949602,5.91801814379762
benzothiazole,бензотиазол,800,0.2547085362937263,0.25,0.0545213621738811,0.21901182957618515,0.2421875,434,1.0418776547494712,5.617125421605903
chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",800,0.2476151641481293,0.23684210526315788,0.06940625926642677,0.22523919732916653,0.11774553571428571,211,2.5610256303241363,8.564098723997036
azobenzene,азобензол,800,0.24328783973623416,0.23076923076923078,0.06607560112601524,0.2178912800351558,0.19029017857142858,341,2.915330203234901,9.876100072038446
thiazolidinedione,"тиазолидин-2,4-дион",800,0.23084280020121253,0.22388059701492538,0.046621105729427556,0.21065333603944353,0.07533482142857142,135,3.473008636260687,4.263058609808269
