score_bin,azobenzene,benzothiazole,chalcone,stilbene,thiazolidinedione
"[0.0,0.2)",0.25022008159825704,0.24108120785935264,0.25081066677176744,0.26342852581156595,0.23738560748674953
"[0.2,0.4)",0.24929957630994004,0.2580379609916632,0.24897684169462617,0.2689989211041969,0.2341922588568045
"[0.4,0.6)",0.23604551254536202,0.2541923576036148,0.23863181690226049,0.2624664868685368,0.22340017288468073
"[0.6,0.8)",0.2350040141571297,0.2600244632570221,0.24176790132380754,0.26931514048758604,0.2295985352351863
"[0.8,1.0]",0.23831344819362538,0.26689446349823037,0.24669388091000885,0.28987708263766915,0.22518162716907836
