nearest_class,n,mean_score,mean_nearest_tc,n_highscore,frac_all,frac_highscore,rl_mean_max_tc,rl_frac_nearest,chromo_mean_max_tc,chromo_frac_nearest
stilbene,671,0.5592148067064083,0.32284807512104907,339,0.3744419642857143,0.46629986244841815,0.2748702051797126,0.3744419642857143,0.2504472348252585,0.3022857142857142
benzothiazole,434,0.5585313366359447,0.29125207791879104,200,0.2421875,0.2751031636863824,0.2547085362937263,0.2421875,0.2264002838769248,0.1571428571428571
chalcone,211,0.3448067947867299,0.33831144323164114,58,0.11774553571428571,0.07977991746905089,0.2476151641481293,0.1177455357142857,0.2420305874843747,0.1808571428571428
azobenzene,341,0.3738072741935484,0.3114069708199378,104,0.19029017857142858,0.14305364511691884,0.2432878397362341,0.1902901785714285,0.233245518954768,0.2128571428571428
thiazolidinedione,135,0.28625607111111107,0.2802737719406094,26,0.07533482142857142,0.03576341127922971,0.2308428002012125,0.0753348214285714,0.2301391527557344,0.1468571428571428
