smiles,set,dim1,dim2
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,chembl,13.0039835,8.679716
Oc1ncnc2[nH]ncc12,chembl,12.94638,6.189499
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,chembl,12.868411,6.8822703
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,chembl,12.373485,7.1610675
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,chembl,12.354248,5.869325
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,chembl,12.279365,5.57914
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,chembl,11.170665,8.365377
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,chembl,11.194742,6.327606
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl,13.591615,5.603041
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,chembl,13.80337,8.561068
CN(C)c1nc(N(C)C)nc(N(C)C)n1,chembl,11.082548,3.899069
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,chembl,9.994253,7.6814137
NC12CC3CC(CC(C3)C1)C2,chembl,13.325983,8.014306
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,chembl,10.545316,5.541796
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,chembl,13.449522,11.236686
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,chembl,12.166996,8.915613
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,12.208449,8.874693
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,chembl,10.794341,7.66627
NCCCNCCSP(=O)(O)O,chembl,12.577153,7.64597
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,chembl,12.978835,8.75717
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,chembl,11.826845,7.3926787
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,chembl,10.507679,6.876483
NCCCCCC(=O)O,chembl,12.429929,8.016833
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,chembl,13.2398405,7.2715774
Nc1ccc(C(=O)NCC(=O)O)cc1,chembl,11.274919,6.594618
NCC(=O)CCC(=O)O,chembl,12.402387,8.090462
Cn1c(=O)c2[nH]cnc2n(C)c1=O,chembl,12.7550955,7.0604115
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,chembl,11.721775,4.914797
NC1=NCC(c2ccccc2)O1,chembl,12.744307,5.3141527
Nc1ccc(C(=O)O)c(O)c1,chembl,11.558646,6.43515
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,chembl,10.879995,4.864189
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,chembl,9.255835,6.900319
CN(C)CCC=C1c2ccccc2CCc2ccccc21,chembl,12.57595,4.8859544
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,chembl,11.562317,6.1116004
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,chembl,10.394947,6.7965484
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,13.556444,7.682622
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,chembl,12.210987,6.203059
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,chembl,9.146551,6.5568924
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,chembl,13.178299,7.878136
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,chembl,13.57713,5.815123
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,chembl,9.082571,8.533849
CC(N)Cc1ccccc1,chembl,11.394536,5.461271
O=C(O)CCCCC(=O)O,chembl,12.371293,8.081804
NC(CC(=O)O)C(=O)O,chembl,12.262197,8.12484
C[C@H](N)Cc1ccccc1,chembl,11.420408,5.4652214
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,chembl,12.620551,9.166949
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,9.105338,8.467055
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,chembl,10.120222,7.834036
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,chembl,9.67634,5.351605
CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,chembl,13.174867,10.258005
Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1,chembl,11.273443,8.300543
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,chembl,13.192177,6.258877
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,chembl,12.471896,6.0500445
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,chembl,10.264394,6.908468
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,chembl,8.846271,5.185328
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,chembl,11.726581,5.413161
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,chembl,10.824435,7.5992913
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,chembl,11.590247,7.7127647
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,chembl,8.859235,5.4322143
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,chembl,12.099424,9.150084
Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,chembl,13.001234,6.273732
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,chembl,9.564002,6.2623043
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,chembl,12.036987,7.638768
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,chembl,13.586897,7.7261877
NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,chembl,12.557142,6.3882756
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,chembl,11.531476,6.3088007
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,chembl,9.050469,5.6272926
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,chembl,10.2405,8.063706
N=C(N)NCCC[C@H](N)C(=O)O,chembl,12.270405,8.141503
[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,chembl,12.310913,7.0077944
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,chembl,12.092637,7.032373
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,chembl,11.652739,7.205792
NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,chembl,10.780889,5.8903904
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,chembl,13.159571,8.6978
C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,chembl,13.1622305,9.1968155
C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,chembl,13.021428,9.556719
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,chembl,11.897813,7.6244326
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,chembl,10.838363,7.834471
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,chembl,12.976091,8.385719
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,chembl,13.396196,5.991912
CC(=O)Oc1ccccc1C(=O)O,chembl,10.659195,5.7989635
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,chembl,9.082456,6.2083163
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,chembl,10.011435,7.3950567
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,chembl,11.009507,5.459456
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,chembl,10.484611,5.9655676
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,chembl,10.589227,6.733493
C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,chembl,11.256556,8.151502
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,chembl,11.307358,5.5298214
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,chembl,10.9828205,6.148651
CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,chembl,9.977192,7.319476
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,chembl,13.298535,5.652638
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,chembl,9.994812,7.5423274
Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,chembl,10.938048,8.025297
COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,chembl,9.795141,6.988817
Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,chembl,12.964321,6.727351
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,chembl,10.783529,8.200219
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,chembl,11.800277,8.643379
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,chembl,9.003184,5.43456
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,chembl,10.900859,6.0496917
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,chembl,12.9311075,8.82871
CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,chembl,12.611111,8.690163
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,chembl,13.263391,5.713389
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,chembl,6.582552,3.1046102
O=C(O)CCCCCCCC(=O)O,chembl,12.429914,8.008591
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,chembl,12.515209,6.314421
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,chembl,10.364163,5.6222196
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,chembl,12.727079,9.455052
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,9.181532,8.415337
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,chembl,8.626747,9.008944
CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,chembl,9.071742,8.508266
NCC(CC(=O)O)c1ccc(Cl)cc1,chembl,11.293285,6.6775346
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,chembl,9.984221,7.694729
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,chembl,11.275009,5.607624
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,chembl,12.041925,5.519484
CCC1(CC)C(=O)NC(=O)NC1=O,chembl,13.385502,7.450823
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,chembl,12.647193,7.0987906
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,chembl,10.890686,7.2044764
CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,chembl,11.087742,6.667739
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,chembl,13.4574175,11.238341
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,chembl,11.646773,3.9610877
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,chembl,11.233294,5.0860834
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,chembl,10.543007,5.8662558
CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,chembl,12.306493,5.201033
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,chembl,12.301428,8.042416
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,chembl,9.844936,7.6168704
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,chembl,11.715877,7.239843
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,chembl,10.908526,5.696197
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,chembl,12.364166,6.0781226
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,chembl,10.443845,6.1536283
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,chembl,10.389911,6.205311
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,chembl,11.589124,6.1347795
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,chembl,10.966432,6.5839214
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,chembl,11.037348,8.231255
O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,chembl,10.736898,6.077621
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,chembl,10.999109,4.791764
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,chembl,11.113426,4.7855973
COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)c4ccccc4)C=C[C@@]31CCN(C)C2,chembl,9.065304,6.7301407
COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,chembl,9.073966,6.6977
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,chembl,11.076614,4.77446
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,chembl,6.6185403,3.3260288
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,chembl,10.525284,6.4560227
O=C(OOC(=O)c1ccccc1)c1ccccc1,chembl,10.771443,5.809056
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,chembl,11.453176,5.3073115
CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,chembl,9.186264,6.6657395
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,chembl,12.353995,6.170637
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,chembl,12.312362,5.864112
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,chembl,11.582847,5.2646575
O=C(OCc1ccccc1)c1ccccc1,chembl,10.670681,5.9698563
O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,chembl,10.6150255,7.738096
