smiles,set,dim1,dim2
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,chembl,-55.330853,30.257833
Oc1ncnc2[nH]ncc12,chembl,-8.1255455,-15.131597
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,chembl,-57.276756,-12.801943
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,chembl,-46.826134,-15.93417
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,chembl,-49.101627,-17.660833
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,chembl,-24.097134,-16.26145
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,chembl,-57.931072,5.6083455
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,chembl,-24.359354,-6.60692
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl,-27.15682,-30.892782
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,chembl,-37.679142,43.01098
CN(C)c1nc(N(C)C)nc(N(C)C)n1,chembl,9.878422,5.1955523
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,chembl,-36.704533,-2.3460393
NC12CC3CC(CC(C3)C1)C2,chembl,-62.92294,20.457727
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,chembl,-19.690952,0.3066181
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,chembl,-65.99057,45.208397
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,chembl,-57.581062,26.318226
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,-57.53829,26.43985
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,chembl,-45.58957,1.2162262
NCCCNCCSP(=O)(O)O,chembl,-29.375814,32.07675
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,chembl,-66.951614,24.143906
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,chembl,-28.081985,22.085922
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,chembl,-33.349995,-3.3067925
NCCCCCC(=O)O,chembl,-34.259735,31.4083
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,chembl,-45.6691,28.434698
Nc1ccc(C(=O)NCC(=O)O)cc1,chembl,-18.582539,20.538347
NCC(=O)CCC(=O)O,chembl,-34.042435,31.131592
Cn1c(=O)c2[nH]cnc2n(C)c1=O,chembl,-19.084991,-13.42033
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,chembl,-3.3895543,1.6190336
NC1=NCC(c2ccccc2)O1,chembl,-5.3086185,-22.486624
Nc1ccc(C(=O)O)c(O)c1,chembl,-17.053478,20.335802
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,chembl,13.480613,-22.591787
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,chembl,-65.55756,-21.057854
CN(C)CCC=C1c2ccccc2CCc2ccccc21,chembl,-2.6117961,-3.733788
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,chembl,-18.120314,22.233364
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,chembl,-37.418106,17.920282
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,-44.72769,30.376535
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,chembl,-19.709671,-26.474222
COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,chembl,-63.804195,-23.906569
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,chembl,-65.31282,16.331947
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,chembl,-30.099262,-29.045639
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,chembl,-82.72761,-1.7191274
CC(N)Cc1ccccc1,chembl,-10.069326,1.0476192
O=C(O)CCCCC(=O)O,chembl,-34.005417,31.56083
NC(CC(=O)O)C(=O)O,chembl,-34.043766,30.163109
C[C@H](N)Cc1ccccc1,chembl,-10.0691805,1.0473789
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,chembl,-62.49613,28.752644
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,-82.36941,-2.2199934
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,chembl,-48.61637,40.81857
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,chembl,-18.44102,-39.41738
CC(=O)O[C@]1(C(C)=O)CCC2[C@@H]3C[C@H](C)C4=CCCC[C@]4(C)[C@H]3CC[C@@]21C,chembl,-64.531586,36.80539
Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1,chembl,-59.697216,4.661475
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,chembl,-26.274736,-25.8939
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,chembl,-0.3905532,-8.8818035
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,chembl,-33.898598,-9.379894
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,chembl,-18.966402,-46.06618
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,chembl,-7.1321535,-0.72380626
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,chembl,-54.466793,-4.116075
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,chembl,-50.178165,-13.747211
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,chembl,-27.165447,-52.086884
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,chembl,-71.98114,2.6277544
Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,chembl,-23.368107,-22.980818
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,chembl,-17.663555,-4.0866523
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,chembl,-63.197395,-9.136294
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,chembl,-45.061314,30.599047
NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,chembl,-9.74464,-13.450058
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,chembl,-13.678368,17.241606
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,chembl,-23.823786,-46.64925
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,chembl,-39.538723,-2.967026
N=C(N)NCCC[C@H](N)C(=O)O,chembl,-34.431564,29.601671
[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,chembl,-44.167507,-16.887732
