epoch,n_raw,n_valid_unique,n_invalid,intra_mean_tanimoto,cross_mean_vs_chromophores,cross_mean_vs_chembl,mean_max_tanimoto_vs_chromophores,median_max_tanimoto_vs_chromophores,mean_max_tanimoto_vs_chembl,median_max_tanimoto_vs_chembl
0,1000,913,87,0.09930890673247736,0.09346373047153968,0.09420143171121322,0.2398731521615895,0.23404255319148937,0.26540475865964974,0.25925925925925924
4,1000,880,118,0.12395439109165576,0.10923710092495446,0.08370526265888519,0.3338805479242152,0.32182539682539685,0.26722300785789277,0.2550020008003201
8,1000,885,115,0.14761938741350672,0.12125324775757111,0.0838178440988311,0.37525667821570613,0.36,0.25131559890420097,0.2441860465116279
