mol_id,cid,smiles,inchikey,formula,iupac_name,scaffold_id,scaffold_name,scaffold_class,scaffold_smarts,murcko_scaffold,mw,logp,tpsa,hbd,hba,rotb,heavy_atoms,rings,aromatic_rings,fraction_csp3,bertz_ct
MOL_00231,373075,Cc1cc2c(c3oc(C(O)(CO)C4CO4)cc(=O)c13)C(=O)c1c(O)cccc1C2=O,WZNWUDKIQDIRSR-UHFFFAOYSA-N,C22H16O8,"2-[1,2-dihydroxy-1-(oxiran-2-yl)ethyl]-11-hydroxy-5-methylnaphtho[2,3-h]chromene-4,7,12-trione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c1ccc1c(=O)cc(CC3CO3)oc21,408.362,1.161,137.57,3,8,3,30,5,3,0.2273,1331.2
MOL_00232,24883233,CSCCC(N)C(=O)NCCNc1ccc(NCCNC(=O)C(N)CCSC)c2c1C(=O)c1c(O)ccc(O)c1C2=O,ZCXAWHROKRWMPY-UHFFFAOYSA-N,C28H38N6O6S2,"(2S)-2-amino-N-[2-[[4-[2-[[(2S)-2-amino-4-methylsulfanylbutanoyl]amino]ethylamino]-5,8-dihydroxy-9,10-dioxoanthracen-1-yl]amino]ethyl]-4-methylsulfanylbutanamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,618.782,1.09,208.9,8,12,16,42,3,2,0.4286,1226.28
MOL_00233,83650,O=C1c2cccc(Sc3ccccc3)c2C(=O)c2c(Sc3ccccc3)cccc21,CNRPDCKHCGUKDK-UHFFFAOYSA-N,C26H16O2S2,"1,8-bis(phenylsulfanyl)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2cccc(Sc3ccccc3)c2C(=O)c2c(Sc3ccccc3)cccc21,424.546,6.764,34.14,0,4,4,30,5,4,0.0,1167.97
MOL_00234,384121,O=C1c2ccccc2C(=O)c2c(NCC(O)CO)ccc(NCC(O)CO)c21,AQNZDXHBYRTSHA-UHFFFAOYSA-N,C20H22N2O6,"1,4-bis(2,3-dihydroxypropylamino)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,386.404,-0.008,139.12,6,8,8,28,3,2,0.3,826.26
MOL_00235,65737,O=C1c2cc(O)c(O)c(O)c2C(=O)c2cc(O)c(O)c(O)c21,NEIMTOOWBACOHT-UHFFFAOYSA-N,C14H8O8,"1,2,3,5,6,7-hexahydroxyanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,304.21,0.696,155.52,6,8,0,22,3,2,0.0,807.89
MOL_00236,2847852,O=C1c2ccccc2C(=O)c2c1ccc1c(=O)n(C3CCCCC3)[nH]c21,PGBGUZRKFRBNBT-UHFFFAOYSA-N,C21H18N2O3,"2-cyclohexyl-1H-naphtho[2,3-g]indazole-3,6,11-trione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c1ccc1c(=O)n(C3CCCCC3)[nH]c21,346.386,3.61,71.93,1,3,1,26,5,3,0.2857,1129.85
MOL_00237,15162831,O=C(CCN1CCOCC1)Nc1ccc2c(c1)C(=O)c1ccc(NC(=O)CCN3CCOCC3)cc1C2=O,MNNVTJGXKLOOHK-UHFFFAOYSA-N,C28H32N4O6,"3-morpholin-4-yl-N-[6-(3-morpholin-4-ylpropanoylamino)-9,10-dioxoanthracen-2-yl]propanamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C(CCN1CCOCC1)Nc1ccc2c(c1)C(=O)c1ccc(NC(=O)CCN3CCOCC3)cc1C2=O,520.586,1.784,117.28,2,8,8,38,5,2,0.4286,1138.34
MOL_00238,5491415,CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,IHLWXZNPOVMUFQ-UHFFFAOYSA-N,C26H19NO12,"7-[5-(2-acetamidoethyl)-2-hydroxyphenyl]-3,5,6,8-tetrahydroxy-9,10-dioxoanthracene-1,2-dicarboxylic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(-c3ccccc3)ccc21,537.433,1.732,238.99,8,10,6,39,4,3,0.1154,1653.79
MOL_00239,72746,O=C1c2ccccc2C(=O)c2c(NC(=O)c3ccc4c5c(ncnc35)-c3ccccc3C4=O)cccc21,UCANIZWVDIFCHH-UHFFFAOYSA-N,C30H15N3O4,"N-(9,10-dioxoanthracen-1-yl)-7-oxobenzo[e]perimidine-4-carboxamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c(NC(=O)c3ccc4c5c(ncnc35)-c3ccccc3C4=O)cccc21,481.467,4.869,106.09,1,6,2,37,7,5,0.0,1890.21
MOL_00240,26248,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,TYNLGDBUJLVSMA-UHFFFAOYSA-N,C19H12O8,"4,5-diacetyloxy-9,10-dioxoanthracene-2-carboxylic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,368.297,2.011,124.04,1,7,3,27,3,2,0.1053,1047.92
MOL_00241,4421615,Nc1ccc(N)c2c1C(=O)c1cccc([N+](=O)[O-])c1C2=O,SDICTISQCKLMEB-UHFFFAOYSA-N,C14H9N3O4,"1,4-diamino-5-nitroanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,283.243,1.535,129.32,2,6,1,21,3,2,0.0,842.35
MOL_00242,5288818,COC1CC(C)(O)Cc2cc3c(c(O)c21)C(=O)c1c(O)cc2c(c1C3=O)OC1OC2(C)C(O)C(N(C)C)C1O,LWYJUZBXGAFFLP-UHFFFAOYSA-N,C28H31NO10,"(1R,10R,12R,21R,22S,23R,24R)-23-(dimethylamino)-4,8,12,22,24-pentahydroxy-10-methoxy-1,12-dimethyl-20,25-dioxahexacyclo[19.3.1.02,19.05,18.07,16.09,14]pentacosa-2,4,7(16),8,14,18-hexaene-6,17-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2cc3c(cc2C(=O)c2c1ccc1c2OC2CCCC1O2)CCCC3,541.553,0.874,166.22,5,11,2,39,6,2,0.5,1448.79
MOL_00243,122909,CCC(C)(C)c1ccc2c(c1)C(=O)c1ccccc1C2=O,WUKWGUZTPMOXOW-UHFFFAOYSA-N,C19H18O2,"2-(2-methylbutan-2-yl)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,278.351,4.15,34.14,0,2,2,21,3,2,0.2632,753.91
MOL_00244,638296,CC12CCCC(O1)c1c(cc3c(c1O)C(=O)c1c(O)cc(O)cc1C3=O)O2,RYFFZJHGQCKWMV-UHFFFAOYSA-N,C20H16O7,"(1S,17S)-3,7,9-trihydroxy-17-methyl-16,21-dioxapentacyclo[15.3.1.02,15.04,13.06,11]henicosa-2(15),3,6(11),7,9,13-hexaene-5,12-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc3c(cc21)OC1CCCC3O1,368.341,2.929,113.29,3,7,0,27,5,2,0.3,1055.03
MOL_00245,75417,Nc1c(-c2nc3cc4c(cc3o2)C(=O)c2ccccc2C4=O)ccc2c1C(=O)c1ccccc1C2=O,RHEVAQGXLUQWBM-UHFFFAOYSA-N,C29H14N2O5,"2-(1-amino-9,10-dioxoanthracen-2-yl)naphtho[2,3-f][1,3]benzoxazole-5,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(-c3nc4cc5c(cc4o3)C(=O)c3ccccc3C5=O)ccc21,470.44,4.628,120.33,1,7,1,36,7,5,0.0,1806.71
MOL_00246,52951424,CCC(C)CCc1c(O)c(C)c(O)c2c1C(=O)c1c(O)cccc1C2=O,AEKIVMGNSYCSFZ-UHFFFAOYSA-N,C21H22O5,"1,3,5-trihydroxy-2-methyl-4-[(3S)-3-methylpentyl]anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,354.402,3.866,94.83,3,5,4,26,3,2,0.3333,926.73
MOL_00247,91826737,Nc1c(N2CCN(C3CCCCC3)CC2)cc(Nc2ccc(C(=O)O)cc2)c2c1C(=O)c1ccccc1C2=O,YLGUWQFLCMWHDK-UHFFFAOYSA-N,C31H32N4O4,"4-[[4-amino-3-(4-cyclohexylpiperazin-1-yl)-9,10-dioxoanthracen-1-yl]amino]benzoic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)cc(N3CCN(C4CCCCC4)CC3)cc21,524.621,4.941,115.97,3,7,5,39,6,3,0.3226,1452.16
MOL_00248,166283,CCOCCCNS(=O)(=O)c1ccc(Oc2cc(O)c3c(c2N)C(=O)c2ccccc2C3=O)cc1,ALXCWDABTQQKAH-UHFFFAOYSA-N,C25H24N2O7S,"4-(1-amino-4-hydroxy-9,10-dioxoanthracen-2-yl)oxy-N-(3-ethoxypropyl)benzenesulfonamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(Oc3ccccc3)ccc21,496.541,3.247,145.02,3,8,9,35,4,3,0.2,1400.06
MOL_00249,82972,CN(C)Cc1ccc(Nc2ccc(N)c3c2C(=O)c2ccccc2C3=O)cc1,IVFRHOQHKQWEHJ-UHFFFAOYSA-N,C23H21N3O2,"1-amino-4-[4-[(dimethylamino)methyl]anilino]anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)cccc21,371.44,3.849,75.43,2,5,4,28,4,3,0.1304,1085.5
MOL_00250,2948,COc1c(C=O)c(O)cc2c1C(=O)c1ccccc1C2=O,IPDMWUNUULAXLU-UHFFFAOYSA-N,C16H10O5,"3-hydroxy-1-methoxy-9,10-dioxoanthracene-2-carbaldehyde",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,282.251,1.989,80.67,1,5,2,21,3,2,0.0625,804.55
MOL_00251,8509,Cc1ccc2c(c1Cl)C(=O)c1ccccc1C2=O,NMFBXBSNLQNQKL-UHFFFAOYSA-N,C15H9ClO2,"1-chloro-2-methylanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,256.688,3.424,34.14,0,2,0,18,3,2,0.0667,701.63
MOL_00252,14749,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,DGQLVPJVXFOQEV-UHFFFAOYSA-N,C22H20O13,"3,5,6,8-tetrahydroxy-1-methyl-9,10-dioxo-7-[(2R,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]anthracene-2-carboxylic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(C3CCCCO3)ccc21,492.389,-1.194,242.51,9,12,3,35,4,2,0.3182,1295.48
MOL_00253,10767451,CCN(CC)CCC(=O)Nc1cccc2c1C(=O)c1cccc(NC(=O)CCN(CC)CC)c1C2=O,VJLWMFJSEUYNRS-UHFFFAOYSA-N,C28H36N4O4,"3-(diethylamino)-N-[5-[3-(diethylamino)propanoylamino]-9,10-dioxoanthracen-1-yl]propanamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,492.62,3.803,98.82,2,6,12,36,3,2,0.4286,1046.86
MOL_00254,161385,O=C1c2cc(O)cc(O)c2C(=O)c2c1cc(O)c(C(CO)CCO)c2O,ZLIRCPWCWHTYNP-UHFFFAOYSA-N,C18H16O8,"2-[(2S)-1,4-dihydroxybutan-2-yl]-1,3,6,8-tetrahydroxyanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,360.318,0.743,155.52,6,8,4,26,3,2,0.2222,931.52
MOL_00255,77767,O=C1c2ccccc2C(=O)c2c(Nc3nc(Nc4cccc5c4C(=O)c4ccccc4C5=O)nc(-c4ccccc4)n3)cccc21,MVIFQPPFCHUSIH-UHFFFAOYSA-N,C37H21N5O4,"1-[[4-[(9,10-dioxoanthracen-1-yl)amino]-6-phenyl-1,3,5-triazin-2-yl]amino]anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c(Nc3nc(Nc4cccc5c4C(=O)c4ccccc4C5=O)nc(-c4ccccc4)n3)cccc21,599.606,6.577,131.01,2,9,5,46,8,6,0.0,2158.89
MOL_00256,8329,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(S(=O)(=O)O)c21,OZTBHAGJSKTDGM-UHFFFAOYSA-N,C14H8O8S2,"9,10-dioxoanthracene-1,5-disulfonic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,368.344,0.955,142.88,2,6,2,24,3,2,0.0,1035.86
MOL_00257,134693743,Cc1ccc(S(=O)(=O)Nc2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)cc1,VUFVNHBHOYPKGQ-UHFFFAOYSA-N,C21H15NO6S,"N-(3,4-dihydroxy-9,10-dioxoanthracen-2-yl)-4-methylbenzenesulfonamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc21,409.419,2.982,120.77,3,6,3,29,4,3,0.0476,1293.49
MOL_00258,238958,O=C1c2ccccc2C(=O)c2cc(N3CCCCC3)ccc21,ZBKREKXRZLODLG-UHFFFAOYSA-N,C19H17NO2,"2-piperidin-1-ylanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(N3CCCCC3)ccc21,291.35,3.452,37.38,0,3,1,22,4,2,0.2632,772.75
MOL_00259,23678881,Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,GMBNNHLANOGOAU-UHFFFAOYSA-M,C20H19N2NaO5S,"sodium 1-amino-4-(cyclohexylamino)-9,10-dioxoanthracene-2-sulfonate",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c(NC3CCCCC3)cccc21,399.448,2.693,129.39,2,7,3,28,4,2,0.3,1101.82
MOL_00260,443801,Cc1cc(O)c2c3c(c(O)cc2c1)C(=O)c1c(O)cccc1C3=O,PQVIKROZFPIERS-UHFFFAOYSA-N,C19H12O5,"1,6,8-trihydroxy-3-methylbenzo[a]anthracene-7,12-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c1ccc1ccccc21,320.3,3.04,94.83,3,5,0,24,4,3,0.0526,1079.04
MOL_00261,44445519,O=C1c2ccccc2C(=O)c2cc(CO)c(O)cc21,LMXDYBJTJGPZPD-UHFFFAOYSA-N,C15H10O4,"2-hydroxy-3-(hydroxymethyl)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,254.241,1.66,74.6,2,4,1,19,3,2,0.0667,716.08
MOL_00262,344301,Nc1cc2c(cc1Cl)C(=O)c1ccccc1C2=O,VMOJFUJVEWWUAV-UHFFFAOYSA-N,C14H8ClNO2,"2-amino-3-chloroanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,257.676,2.698,60.16,1,3,0,18,3,2,0.0,646.94
MOL_00263,10030135,COC1=C(C(=O)O)C(C)C23OC24c2cc(O)c5c(c2NC3C#CC=CC#CC14)C(=O)c1c(O)ccc(O)c1C5=O,AFMYMMXSQGUCBK-UHFFFAOYSA-N,C30H19NO9,"(2R,4S,5S,8R,11Z,15S)-21,24,28-trihydroxy-7-methoxy-5-methyl-19,26-dioxo-3-oxa-16-azaheptacyclo[15.12.0.02,4.02,8.04,15.018,27.020,25]nonacosa-1(29),6,11,17,20,22,24,27-octaen-9,13-diyne-6-carboxylic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c1ccc1c2NC2C#CC=CC#CC3C=CCC24OC134,537.48,2.165,165.92,5,9,2,40,7,2,0.2333,1845.82
MOL_00264,6679,O=C(Nc1ccc(Cl)c2c1C(=O)c1ccccc1C2=O)c1ccccc1,FNCVZYRPXOZNSM-UHFFFAOYSA-N,C21H12ClNO3,"N-(4-chloro-9,10-dioxoanthracen-1-yl)benzamide",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C(Nc1cccc2c1C(=O)c1ccccc1C2=O)c1ccccc1,361.784,4.368,63.24,1,3,2,26,4,3,0.0,1073.87
MOL_00265,317256,CC(C)=CCCc1ccc2c(c1)C(=O)c1ccccc1C2=O,NQVBCGTZRWHVSY-UHFFFAOYSA-N,C20H18O2,"2-(4-methylpent-3-enyl)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,290.362,4.361,34.14,0,2,3,22,3,2,0.2,793.1
MOL_00266,19729,CNc1ccc(O)c2c1C(=O)c1c(O)ccc(NC)c1C2=O,OKZNPGWYVNZKKZ-UHFFFAOYSA-N,C16H14N2O4,"1,5-dihydroxy-4,8-bis(methylamino)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,298.298,1.957,98.66,4,6,2,22,3,2,0.125,757.88
MOL_00267,3035016,CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O,VJZITPJGSQKZMX-UHFFFAOYSA-N,C25H25NO9,"(7S,9S)-9-acetyl-9-amino-7-[(2S,4S,5R)-4,5-dihydroxyoxan-2-yl]oxy-6,11-dihydroxy-8,10-dihydro-7H-tetracene-5,12-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,483.473,0.632,176.61,5,10,3,35,5,2,0.4,1272.07
MOL_00268,4589998,COc1ccc2c(c1)C(=O)c1ccc(OC)cc1C2=O,VZXGMACDZPAQOP-UHFFFAOYSA-N,C16H12O4,"2,6-dimethoxyanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,268.268,2.479,52.6,0,4,2,20,3,2,0.125,667.75
MOL_00269,38350655,O=C(O)c1cc(O)c2c(c1)C(=O)c1cc(O)c(Cl)c(O)c1C2=O,JGHTWRZCNLXYPF-UHFFFAOYSA-N,C15H7ClO7,"6-chloro-4,5,7-trihydroxy-9,10-dioxoanthracene-2-carboxylic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,334.667,1.93,132.13,4,6,1,23,3,2,0.0,930.15
MOL_00270,11257943,NC(N)=Nc1ccc2c(c1)C(=O)c1cc(N=C(N)N)ccc1C2=O,ODSIVZAFRQZAQI-UHFFFAOYSA-N,C16H14N6O2,"2-[7-(diaminomethylideneamino)-9,10-dioxoanthracen-2-yl]guanidine",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,322.328,0.272,162.94,4,4,2,24,3,2,0.0,864.08
MOL_00271,65132,O=C(O)CN(CC(=O)O)Cc1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,PWIGYBONXWGOQE-UHFFFAOYSA-N,C19H15NO8,"2-[carboxymethyl-[(3,4-dihydroxy-9,10-dioxoanthracen-2-yl)methyl]amino]acetic acid",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,385.328,0.844,152.44,4,7,6,28,3,2,0.1579,1010.83
MOL_00272,3835463,O=C1c2ccccc2C(=O)c2c1ccc1nsnc21,SJPXIVLTCBBWKT-UHFFFAOYSA-N,C14H6N2O2S,"naphtho[2,3-g][2,1,3]benzothiadiazole-6,11-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2c1ccc1nsnc21,266.281,2.467,59.92,0,5,0,19,4,3,0.0,866.76
MOL_00273,83668,COc1ccc(-c2cc(O)c3c(c2N)C(=O)c2c(O)ccc(N)c2C3=O)cc1,XDWMUDQKNPIWDS-UHFFFAOYSA-N,C21H16N2O5,"1,5-diamino-4,8-dihydroxy-2-(4-methoxyphenyl)anthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc(-c3ccccc3)ccc21,376.368,2.713,135.87,4,7,2,28,4,3,0.0476,1166.65
MOL_00274,14563111,COc1cc(OC)c2c(c1)C(=O)c1cc(CBr)cc(OC)c1C2=O,WSOXAKBJYCVUGM-UHFFFAOYSA-N,C18H15BrO5,"3-(bromomethyl)-1,6,8-trimethoxyanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,391.217,3.383,61.83,0,5,4,24,3,2,0.2222,789.47
MOL_00275,71042,O=C1c2cc(Cl)c(Cl)cc2C(=O)c2c(O)ccc(O)c21,GWFVWUQOSJGENT-UHFFFAOYSA-N,C14H6Cl2O4,"6,7-dichloro-1,4-dihydroxyanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,309.104,3.18,74.6,2,4,0,20,3,2,0.0,730.25
MOL_00276,2870897,COC(=O)c1ccc2c(c1O)C(=O)c1ccccc1C2=O,BJKGQODYLJQOBA-UHFFFAOYSA-N,C16H10O5,"methyl 1-hydroxy-9,10-dioxoanthracene-2-carboxylate",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,282.251,1.954,80.67,1,5,1,21,3,2,0.0625,804.31
MOL_00277,120369,CCc1ccc2c(O)c3c(cc2c1C(=O)OC)C(=O)c1c(O)ccc(O)c1C3=O,DIAOGWYBBJCPAD-UHFFFAOYSA-N,C22H16O7,"methyl 2-ethyl-5,7,10-trihydroxy-6,11-dioxotetracene-1-carboxylate",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2cc3ccccc3cc21,392.363,3.081,121.13,3,7,2,29,4,3,0.1364,1254.23
MOL_00278,8321,COc1ccc(N)c2c1C(=O)c1ccccc1C2=O,KXOGXZAXERYOTC-UHFFFAOYSA-N,C15H11NO3,"1-amino-4-methoxyanthracene-9,10-dione",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,253.257,2.053,69.39,1,4,1,19,3,2,0.0667,719.33
MOL_00279,78143,O=C1c2ccc3c(=O)c4ccccc4[nH]c3c2C(=O)c2ccc3c(=O)c4ccccc4[nH]c3c21,KLCBMAACUWYFIZ-UHFFFAOYSA-N,C28H14N2O4,"5,20-diazaheptacyclo[16.12.0.03,16.04,13.06,11.019,28.021,26]triaconta-1(18),3(16),4(13),6,8,10,14,19(28),21,23,25,29-dodecaene-2,12,17,27-tetrone",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccc3c(=O)c4ccccc4[nH]c3c2C(=O)c2ccc3c(=O)c4ccccc4[nH]c3c21,442.43,4.451,99.86,2,4,0,34,7,6,0.0,1897.8
MOL_00280,10425624,CC(=O)OCc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,FUECAILUKAJTBR-UHFFFAOYSA-N,C17H12O6,"(4,5-dihydroxy-9,10-dioxoanthracen-2-yl)methyl acetate",anthraquinone,Anthraquinone,chromophore,O=C1c2ccccc2C(=O)c2ccccc12,O=C1c2ccccc2C(=O)c2ccccc21,312.277,1.936,100.9,2,6,2,23,3,2,0.1176,865.63
MOL_00281,61396,CCNc1ccc2ccccc2c1N=Nc1ccc(N=Nc2ccccc2)cc1,VKWNTWQXVLKCSG-UHFFFAOYSA-N,C24H21N5,N-ethyl-1-[(4-phenyldiazenylphenyl)diazenyl]naphthalen-2-amine,azo_dye,Azoarene,chromophore,c[N]=[N]c,c1ccc(N=Nc2ccc(N=Nc3cccc4ccccc34)cc2)cc1,379.467,8.102,61.47,1,5,6,29,4,4,0.0833,1148.98
MOL_00282,135414428,Nc1cc(N)c(S(=O)(=O)[O-])cc1N=Nc1cc([N+](=O)[O-])ccc1O,PNSZUHGNMLTLEA-UHFFFAOYSA-M,C12H10N5NaO6S,"sodium 2,4-diamino-5-[(2-hydroxy-5-nitrophenyl)diazenyl]benzenesulfonate",azo_dye,Azoarene,chromophore,c[N]=[N]c,c1ccc(N=Nc2ccccc2)cc1,352.308,1.784,197.33,3,10,4,24,2,2,0.0,956.65
MOL_00283,91719492,CCN(CCO)c1ccc(N=Nc2ccc(N(CC)CCO)cc2C)c(C)c1,UQACKAULSXYLJH-UHFFFAOYSA-N,C22H32N4O2,2-[N-ethyl-4-[[4-[ethyl(2-hydroxyethyl)amino]-2-methylphenyl]diazenyl]-3-methylanilino]ethanol,azo_dye,Azoarene,chromophore,c[N]=[N]c,c1ccc(N=Nc2ccccc2)cc1,384.524,4.356,71.66,2,6,10,28,2,2,0.4545,726.6
MOL_00284,15277,COc1ccc(N=[N+]([O-])c2ccc(OC)cc2)cc1,KAEZRSFWWCTVNP-UHFFFAOYSA-N,C14H14N2O3,(4-methoxyphenyl)-(4-methoxyphenyl)imino-oxidoazanium,azo_dye,Azoarene,chromophore,c[N]=[N]c,c1ccc(N=[NH+]c2ccccc2)cc1,258.277,3.63,56.89,0,4,4,19,2,2,0.1429,562.25
