mol_id,cid,smiles,inchikey,formula,iupac_name,scaffold_id,scaffold_name,scaffold_class,scaffold_smarts,murcko_scaffold,mw,logp,tpsa,hbd,hba,rotb,heavy_atoms,rings,aromatic_rings,fraction_csp3,bertz_ct
MOL_00011,11963435,COCCCCC1(CNC(=O)C2CNCC(NS(=O)(=O)c3ccc(C)cc3)C2)c2ccccc2Oc2ccccc21,LBPUIWQYAGTBDC-UHFFFAOYSA-N,C32H39N3O5S,"(3S,5R)-N-[[9-(4-methoxybutyl)xanthen-9-yl]methyl]-5-[(4-methylphenyl)sulfonylamino]piperidine-3-carboxamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(NCC1c2ccccc2Oc2ccccc21)C1CNCC(NS(=O)(=O)c2ccccc2)C1,577.747,4.276,105.76,3,6,11,41,5,3,0.4062,1412.67
MOL_00012,96464,CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C21c2ccccc2C(=O)N1c1ccccc1,IMYNRKANUSOMGU-UHFFFAOYSA-N,C34H35N3O2,"3',6'-bis(diethylamino)-2-phenylspiro[isoindole-3,9'-xanthene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1c2ccccc2C2(c3ccccc3Oc3ccccc32)N1c1ccccc1,517.673,7.437,36.02,0,4,7,39,6,4,0.2647,1461.47
MOL_00013,6918497,CC[N+]1(CC2=CCCCCCC2)CCC(NC(=O)C2c3cc(Cl)ccc3Oc3ccc(Cl)cc32)CC1,VQHKDCUXFKNNMT-UHFFFAOYSA-O,C30H37Cl2N2O2+,"2,7-dichloro-N-[1-[[(1E)-cycloocten-1-yl]methyl]-1-ethylpiperidin-1-ium-4-yl]-9H-xanthene-9-carboxamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(NC1CC[NH+](CC2=CCCCCCC2)CC1)C1c2ccccc2Oc2ccccc21,528.544,7.627,38.33,1,2,5,36,5,2,0.5,1086.26
MOL_00014,43214,CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1,QUXRAOQDUJFWIA-UHFFFAOYSA-N,C20H22ClNO4S,4-(2-chloroxanthen-9-ylidene)-1-methylpiperidine;methanesulfonic acid,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Oc1ccccc1C2=C1CCNCC1,311.812,4.973,12.47,0,2,0,22,4,2,0.2632,755.78
MOL_00015,636044,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,CXNIUSPIQKWYAI-UHFFFAOYSA-N,C39H32OP2,"(5-diphenylphosphanyl-9,9-dimethylxanthen-4-yl)-diphenylphosphane",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc(P(c2ccccc2)c2cccc3c2Oc2c(cccc2P(c2ccccc2)c2ccccc2)C3)cc1,578.632,7.635,9.23,0,1,6,42,7,6,0.0769,1604.04
MOL_00016,11569907,O=C(OC1C[N+]2(CCc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,LIOWQNKZGLXNRL-UHFFFAOYSA-N,C29H30BrNO3,[(3R)-1-(2-phenylethyl)-1-azoniabicyclo[2.2.2]octan-3-yl] 9H-xanthene-9-carboxylate bromide,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(OC1C[N+]2(CCc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,440.563,5.319,35.53,0,3,5,33,7,3,0.3448,1104.79
MOL_00017,53465113,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1Oc1ccc(-c3cccnc3)cc12,BXMSMHWFQQRFMZ-UHFFFAOYSA-N,C26H19N5O2,"2-amino-3-methyl-2',7'-dipyridin-3-ylspiro[imidazole-5,9'-xanthene]-4-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1NC=NC12c1cc(-c3cccnc3)ccc1Oc1ccc(-c3cccnc3)cc12,433.471,3.947,93.7,1,6,2,33,6,4,0.0769,1345.02
MOL_00018,122297,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2cc(CCl)ccc21,IPJDHSYCSQAODE-UHFFFAOYSA-N,C25H17ClO7,"[6'-acetyloxy-5-(chloromethyl)-3-oxospiro[2-benzofuran-1,9'-xanthene]-3'-yl] acetate",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,464.857,4.844,88.13,0,7,3,33,5,3,0.16,1279.08
MOL_00019,10338547,O=C(Nc1nc(C(F)(F)F)co1)C1c2ccccc2Oc2ccccc21,GSGDLBUOSWGZER-UHFFFAOYSA-N,C18H11F3N2O3,"N-[4-(trifluoromethyl)-1,3-oxazol-2-yl]-9H-xanthene-9-carboxamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(Nc1ncco1)C1c2ccccc2Oc2ccccc21,360.291,4.57,64.36,1,4,2,26,4,3,0.1111,936.06
MOL_00020,77718,CC(=O)Oc1cc2c(cc1Cl)C(c1ccccc1C(=O)O)c1cc(Cl)c(OC(C)=O)cc1O2,PXEZTIWVRVSYOK-UHFFFAOYSA-N,C24H16Cl2O7,"2-(3,6-diacetyloxy-2,7-dichloro-9H-xanthen-9-yl)benzoic acid",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc(C2c3ccccc3Oc3ccccc32)cc1,487.291,5.828,99.13,1,6,4,33,4,3,0.125,1244.91
