epoch,n_molecules,mean_mahal_vs_chromophores,median_mahal_vs_chromophores,p90_mahal_vs_chromophores,mean_mahal_vs_chembl,median_mahal_vs_chembl,p90_mahal_vs_chembl
0,913,6.356427128992459,6.268571422368396,7.769018836031507,6.625234479477273,6.567994535369853,8.055606168070952
4,880,6.957166106891819,6.9192955129248315,8.785783766166475,6.918454119563919,6.9047105808764755,8.450972300369722
8,885,7.104748627345368,7.034255117488977,8.728377578782888,6.940519034399948,6.9148983025151605,8.40016719582931
