epoch,tanimoto__n_raw,tanimoto__n_valid_unique,tanimoto__n_invalid,tanimoto__intra_mean_tanimoto,tanimoto__cross_mean_vs_chromophores,tanimoto__cross_mean_vs_chembl,tanimoto__mean_max_tanimoto_vs_chromophores,tanimoto__median_max_tanimoto_vs_chromophores,tanimoto__mean_max_tanimoto_vs_chembl,tanimoto__median_max_tanimoto_vs_chembl,fcd__n_molecules,fcd__fcd_vs_chromophores,fcd__fcd_vs_chembl,fcd__ffd_vs_chromophores,fcd__ffd_vs_chembl,fcd__backend,mahalanobis__n_molecules,mahalanobis__mean_mahal_vs_chromophores,mahalanobis__median_mahal_vs_chromophores,mahalanobis__p90_mahal_vs_chromophores,mahalanobis__mean_mahal_vs_chembl,mahalanobis__median_mahal_vs_chembl,mahalanobis__p90_mahal_vs_chembl,hitrate__n_generated,hitrate__n_rdkit_valid,hitrate__hitrate_rdkit_valid,hitrate__n_reinvent_valid,hitrate__hitrate_reinvent_valid,hitrate__n_chromophore_like,hitrate__hitrate_chromophore_like,hitrate__chromophore_threshold,novelty__n_generated,novelty__n_valid,novelty__n_invalid,novelty__n_unique,novelty__uniqueness,novelty__novelty_vs_chromophores,novelty__novelty_vs_chembl,novelty__mean_intra_tanimoto,novelty__internal_diversity,composite_score,regime,recommended_epoch
0,1000,913,87,0.0993089067324773,0.0934637304715396,0.0942014317112132,0.2398731521615895,0.2340425531914893,0.2654047586596497,0.2592592592592592,913,15.205169140253416,10.146591669961197,10.81689789147843,3.3857134980006904,chemnet+ffd,913,6.356427128992459,6.268571422368396,7.769018836031507,6.625234479477273,6.567994535369853,8.055606168070952,3200,2921,0.9128125,2921,0.9128125,43,0.0134375,0.4,1000,913,87,913,1.0,1.0,1.0,0.0993089067324773,0.9006910932675226,3.2,underfit / early,4
4,1000,880,118,0.1239543910916557,0.1092371009249544,0.0837052626588851,0.3338805479242152,0.3218253968253968,0.2672230078578927,0.2550020008003201,880,9.936079566290616,23.152465196983464,9.519868627007511,11.610897745082292,chemnet+ffd,880,6.957166106891819,6.919295512924832,8.785783766166475,6.918454119563919,6.904710580876476,8.450972300369722,3200,2831,0.8846875,2826,0.883125,599,0.1871875,0.4,1000,882,118,880,0.9977324263038548,1.0,1.0,0.1239543910916557,0.8760456089083443,4.865931857354888,recommended,4
8,1000,885,115,0.1476193874135067,0.1212532477575711,0.0838178440988311,0.3752566782157061,0.36,0.2513155989042009,0.2441860465116279,885,8.711714661524756,27.959115676347164,8.056163092334128,14.261002247998515,chemnet+ffd,885,7.104748627345368,7.034255117488977,8.728377578782888,6.940519034399948,6.9148983025151605,8.40016719582931,3200,2872,0.8975,2872,0.8975,1028,0.32125,0.4,1000,885,115,885,1.0,0.9977401129943504,1.0,0.1476193874135067,0.8523806125864932,4.3,overfit / late,4
