epoch_a,epoch_b,mean_tanimoto,mean_0_to_2,mean_2_to_0,mean_2_to_4,mean_4_to_2,mean_4_to_6,mean_6_to_4,mean_6_to_8,mean_8_to_6,mean_8_to_10,mean_10_to_8
0,2,0.08877430856227875,0.1849317103624344,0.2034386396408081,,,,,,,,
2,4,0.11415348201990128,,,0.27916502952575684,0.27663567662239075,,,,,,
4,6,0.11944118142127991,,,,,0.2807759940624237,0.2928226590156555,,,,
6,8,0.12681534886360168,,,,,,,0.31755900382995605,0.30450645089149475,,
8,10,0.12222756445407867,,,,,,,,,0.3148527443408966,0.3213922679424286
