smiles,set,dim1,dim2
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,chembl,-21.576916,45.515602
Oc1ncnc2[nH]ncc12,chembl,-24.985338,-8.943733
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,chembl,-26.182116,-3.1087809
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,chembl,-21.409235,40.831722
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,chembl,-7.452435,11.523474
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,chembl,-6.0838795,8.977036
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,chembl,-52.59313,22.410654
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,chembl,-53.851486,-6.680926
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,chembl,-46.814102,-8.740167
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,chembl,-14.578988,46.82825
CN(C)c1nc(N(C)C)nc(N(C)C)n1,chembl,10.4261,-20.024069
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,chembl,-37.029747,26.63928
NC12CC3CC(CC(C3)C1)C2,chembl,-25.850433,43.98399
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,chembl,-36.038807,7.8436823
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,chembl,-27.52543,71.689964
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,chembl,-31.058989,39.05821
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,chembl,-31.04724,39.267113
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,chembl,-49.80403,19.723211
NCCCNCCSP(=O)(O)O,chembl,-19.398308,23.757841
